UnitKey,month,uProd,pProd,pRate,Status,UnitTerminationDate
4348,165,277647,6533,0.02 ,1,NULL
4354,165,70978,5190,0.07 ,1,NULL
4355,165,129622,10554,0.08 ,1,NULL
4357,165,155004,12021,0.08 ,1,NULL
4363,165,143877,15168,0.11 ,1,NULL
4364,165,130595,7207,0.06 ,1,NULL
4366,165,155067,8303,0.05 ,1,NULL
4368,165,89273,13799,0.15 ,1,NULL
4381,165,105162,12366,0.12 ,1,NULL
4386,165,112106,7940,0.07 ,1,NULL
4388,165,104786,12875,0.12 ,1,NULL
4409,165,21033,3797,0.18 ,1,NULL
4410,165,33491,4933,0.15 ,1,NULL
4411,165,56290,8166,0.15 ,1,NULL
4413,165,65369,5040,0.08 ,1,NULL
4422,165,68560,5586,0.08 ,1,NULL
4438,165,63172,15651,0.25 ,1,NULL
4440,165,120712,7134,0.06 ,1,NULL
4444,165,41113,4413,0.11 ,1,NULL
4458,165,102751,5399,0.05 ,1,NULL
4460,165,70066,4482,0.06 ,1,NULL
4463,165,250630,14579,0.06 ,1,NULL
4474,165,58505,6831,0.12 ,1,NULL
4482,165,91699,13736,0.15 ,1,NULL
4492,165,75593,4807,0.06 ,1,NULL
4495,165,31516,5744,0.18 ,1,NULL
4502,165,200181,9761,0.05 ,1,NULL
4508,165,40493,4865,0.12 ,1,NULL
4509,165,95704,6939,0.07 ,1,NULL
4510,165,80833,11073,0.14 ,1,NULL
4513,165,32699,18328,0.56 ,1,NULL
4514,165,273874,9718,0.04 ,1,NULL
4524,165,69222,4979,0.07 ,1,NULL
4532,165,69992,8030,0.11 ,1,NULL
4553,165,66398,4572,0.07 ,1,NULL
4556,165,103875,9223,0.09 ,1,NULL
4557,165,199255,4757,0.02 ,1,NULL
4562,165,100933,6908,0.07 ,1,NULL
4563,165,31547,2615,0.08 ,1,NULL
4566,165,215132,15111,0.07 ,1,NULL
4574,165,53956,7078,0.13 ,1,NULL
4577,165,65023,11253,0.17 ,1,NULL
